data;

set L :=
     (2,49)
     (3,235)
     (4,230)
     (5,172)
     (6,27)
     (7,228)
     (8,136)
     (9,253)
     (10,112)
     (12,123)
     (13,177)
     (14,197)
     (15,251)
     (16,34)
     (17,91)
     (18,213)
     (19,246)
     (20,143)
     (21,55)
     (22,107)
     (23,23)
     (24,47)
     (25,108)
     (26,193)
     (27,7)
     (28,222)
     (29,239)
     (30,234)
     (31,179)
     (32,219)
     (33,160)
     (34,115)
     (35,202)
     (36,14)
     (37,97)
     (38,99)
     (39,103)
     (40,166)
     (41,207)
     (42,229)
     (43,128)
     (44,39)
     (45,212)
     (46,102)
     (47,92)
     (48,140)
     (49,218)
     (50,111)
     (51,95)
     (52,174)
     (53,89)
     (54,250)
     (55,43)
     (56,52)
     (57,42)
     (58,10)
     (59,173)
     (60,118)
     (61,221)
     (62,224)
     (63,88)
     (64,105)
     (65,151)
     (66,56)
     (67,145)
     (68,189)
     (69,21)
     (70,64)
     (71,125)
     (72,157)
     (73,162)
     (74,67)
     (75,134)
     (76,113)
     (77,129)
     (78,180)
     (79,142)
     (80,28)
     (81,110)
     (82,184)
     (83,170)
     (84,248)
     (85,181)
     (86,19)
     (87,178)
     (88,100)
     (89,231)
     (90,241)
     (91,120)
     (92,126)
     (93,117)
     (94,72)
     (95,209)
     (96,149)
     (97,38)
     (98,133)
     (99,141)
     (100,150)
     (101,165)
     (102,83)
     (103,32)
     (104,78)
     (105,223)
     (106,8)
     (107,247)
     (108,96)
     (109,57)
     (110,139)
     (111,138)
     (112,5)
     (113,66)
     (114,63)
     (115,12)
     (116,29)
     (117,109)
     (118,50)
     (119,196)
     (120,114)
     (121,119)
     (122,4)
     (123,90)
     (124,44)
     (125,210)
     (126,187)
     (127,163)
     (128,147)
     (129,148)
     (130,135)
     (131,214)
     (132,130)
     (133,156)
     (134,9)
     (136,0)
     (137,93)
     (138,61)
     (139,194)
     (140,62)
     (141,54)
     (142,198)
     (143,20)
     (144,243)
     (145,236)
     (146,233)
     (147,13)
     (148,146)
     (149,232)
     (150,17)
     (151,185)
     (152,16)
     (153,121)
     (154,41)
     (155,252)
     (156,116)
     (157,60)
     (158,158)
     (159,80)
     (160,152)
     (161,203)
     (162,201)
     (163,220)
     (164,98)
     (165,240)
     (166,132)
     (167,53)
     (168,167)
     (169,242)
     (170,76)
     (171,37)
     (172,227)
     (173,81)
     (174,254)
     (175,73)
     (176,164)
     (177,159)
     (178,211)
     (179,225)
     (180,25)
     (181,127)
     (182,22)
     (183,137)
     (184,104)
     (185,30)
     (186,171)
     (188,84)
     (190,195)
     (191,137)
     (192,246)
     (193,101)
     (194,174)
     (195,52)
     (196,253)
     (197,114)
     (198,153)
     (199,189)
     (200,141)
     (201,251)
     (202,136)
     (203,206)
     (204,165)
     (205,230)
     (206,233)
     (207,89)
     (208,192)
     (209,17)
     (210,184)
     (211,6)
     (212,210)
     (213,109)
     (214,191)
     (215,147)
     (216,238)
     (217,216)
     (218,76)
     (219,167)
     (220,13)
     (221,252)
     (222,110)
     (223,164)
     (224,88)
     (225,220)
     (226,243)
     (227,102)
     (228,126)
     (229,12)
     (230,133)
     (231,227)
     (232,31)
     (233,131)
     (234,59)
     (235,91)
     (236,75)
     (237,254)
     (238,69)
     (239,64)
     (240,93)
     (241,107)
     (242,41)
     (243,8)
     (244,169)
     (245,11)
     (246,18)
     (247,16)
     (248,248)
     (249,223)
     (250,213)
     (251,92)
     (252,45)
     (253,111)
     (254,127)
     (255,19)
     (256,71)
     (257,125)
     (258,56)
     (259,43)
     (260,152)
     (261,50)
     (262,49)
     (263,194)
     (264,237)
     (265,84)
     (266,116)
     (267,99)
     (268,143)
     (269,20)
     (270,5)
     (271,40)
     (272,70)
     (273,146)
     (274,155)
     (275,10)
     (276,35)
     (277,51)
     (278,123)
     (279,183)
     (280,4)
     (281,124)
     (282,255)
     (283,0)
     (284,118)
     (285,204)
     (286,36)
     (287,29)
     (288,33)
     (289,81)
     (290,197)
     (291,193)
     (292,250)
     (293,112)
     (294,122)
     (295,140)
     (296,166)
     (297,105)
     (298,9)
     (299,158)
     (300,177)
     (301,205)
     (302,86)
     (303,130)
     (304,139)
     (305,168)
     (306,179)
     (307,198)
     (308,87)
     (309,163)
     (310,162)
     (311,207)
     (312,244)
     (313,199)
     (314,221)
     (315,67)
     (316,54)
     (317,249)
     (318,149)
     (319,185)
     (320,157)
     (321,96)
     (322,229)
     (323,44)
     (324,161)
     (325,98)
     (326,148)
     (327,117)
     (328,80)
     (329,28)
     (330,90)
     (331,63)
     (332,181)
     (333,138)
     (334,156)
     (335,178)
     (336,23)
     (337,119)
     (338,142)
     (339,190)
     (340,196)
     (341,231)
     (342,247)
     (343,232)
     (344,226)
     (345,61)
     (346,176)
     (347,113)
     (348,241)
     (349,186)
     (350,240)
     (351,144)
     (352,234)
     (353,154)
     (354,224)
     (355,214)
     (356,134)
     (357,30)
     (358,242)
     (359,151)
     (360,222)
     (361,68)
     (362,160)
     (363,120)
     (364,21)
     (365,72)
     (366,171)
     (367,79)
     (368,37)
     (369,175)
     (370,48)
     (371,25)
     (372,34)
     (373,187)
     (374,115)
     (375,26)
     (376,172)
     (377,170)
     (378,82)
     (379,73)
     (380,212)
     (381,57)
     (382,239)
     (383,103)
     (384,47)
     (385,108)
     (386,173)
     (387,60)
     (388,58)
     (389,245)
     (390,128)
     (391,97)
     (392,225)
     (393,202)
     (394,100)
     (395,236)
     (396,65)
     (397,104)
     (398,129)
     (399,22)
     (400,209)
     (401,15)
     (402,159)
     (403,55)
     (404,150)
     (405,39)
     (406,211)
     (407,53)
